Flag Type,Flag description,What was done,Where found,Where placed
incomplete information,"The text states that an English translation follows, but only the non-English text is visible in this chunk.",Transcribed only the visible text and noted the absence of the translation in the performance additional_information.,55062-55075,54187
ambiguous attribution,"The program note refers to ""its composer"" and ""this brilliant Frenchman"" without naming the person in the visible chunk.",Preserved the unattributed wording as a composer credit rather than inferring a name.,55058-55058,54187
incomplete information,"Opening lyrics fragment appears to belong to a musical item whose title, event context, and attribution are not visible in this chunk.",Created a separate concert event fragment with a single performance and preserved the visible lyrics verbatim.,55076-55099,54223
ambiguous event boundary,The FIRST CONCERT material appears across multiple pages and may be part of a larger program extending beyond this chunk; exact event boundaries and full program contents are not fully visible.,Separated visible program-note-based events under FIRST CONCERT by clearly labeled works while preserving page references in additional_information.,55106-55259,not located
duplicate information,"A paragraph beginning ""tone poems and operas, has, in this generation"" appears on both Page 27 and Page 28, suggesting OCR duplication across a page break.",Retained the material once in structured form and flagged the apparent duplication for manual review.,55104-55109,not located
duplicate information,"The same paragraph continues in repeated form on Page 28 after the NOTICE interruption, suggesting duplicated OCR content.",Did not duplicate structured content; noted duplication in this flag.,55128-55129,not located
potential misspelling,"The source reads ""same titles"" where singular might be expected in the Don Juan note, but this cannot be corrected without outside knowledge.",Preserved the wording exactly as printed.,55131-55131,54254
potential misspelling,"Several words in the Don Juan translation appear irregular or misspelled in OCR/print, including ""illimitied,"" ""gloried,"" and ""upfurish'd.""",Preserved all wording exactly in the lyrics_transcript and flagged for review.,55133-55151,54252
formatting error,"The heading for ""GYPSY SONGS"" is followed by an extremely long run of hyphens, indicating OCR capture of decorative rule formatting.",Extracted the title normally and omitted the repeated hyphens from the performance title.,55184-55184,not located
incomplete information,"The note on ""GYPSY SONGS"" begins mid-sentence on Page 30, so preceding contextual text is missing from this chunk.",Extracted only the visible information and noted the incompleteness in event additional_information.,55189-55189,not located
potential misspelling,"The source contains several names/spellings that may require review, including ""Zoltan Magy,"" ""Ketschkemete,"" and possibly others in the Gypsy Songs note/text.",Preserved all spellings exactly as they appear.,55189-55246,54349
incomplete information,"SECOND CONCERT date is incomplete because the year is not visible in this chunk; only ""Thursday Evening, May 23"" is given.",Set event_date to null and preserved the partial date in additional_information.,55260-55263,54409
incomplete information,"The ""A GERMAN REQUIEM"" note and text continue beyond the end of the chunk; only part of the complete text is visible.",Extracted the visible text only and noted that the text is partial.,55264-55325,53528
potential misspelling,"In the Requiem text, the source reads ""We shall not all flee when he cometh"" which may be erroneous, but cannot be corrected from the chunk alone.",Preserved the wording exactly and flagged it for manual review.,55324-55324,54419
ambiguous event boundary,The opening Glazounow material appears before the visible start of SECOND CONCERT and may belong to a preceding document or event not fully present in this chunk.,Separated the opening prose into a non-event record rather than attaching it to the visible concert program.,55251-55257,54381
non-musical information,The opening prose is biographical and analytical material without a clearly visible event heading in this chunk.,"Created an event with event_type ""non-event"" and preserved the text in additional_information.",55251-55257,54685
OCR error,Very long run of hyphens after “A GERMAN REQUIEM” appears to be formatting noise or OCR expansion.,Preserved the work title as the section name and omitted the repeated hyphen string from structured title fields.,55264-55264,not located
incomplete information,"SECOND CONCERT shows only weekday and month/day, with no year visible in the chunk.",Left event_date as null.,55260-55263,not located
incomplete information,"THIRD CONCERT shows only weekday and month/day, with no year visible in the chunk.",Left event_date as null.,55734-55738,not located
potential misspelling,"The name “Alexandre Glazounow” may be an unusual or misspelled form, but must be preserved as printed.",Preserved the spelling exactly.,55253-55253,54685
potential misspelling,The dedicatee name “Nicholas Galkine” may require review.,Preserved the spelling exactly.,55255-55255,54381
OCR error,"Several role labels appear with inconsistent OCR spellings, including “BARTONE SOLO” and “BARIONE SOLO.”",Preserved wording in lyrics_transcript and normalized no further.,55417-55500,54521
OCR error,“Quonodo” may be an OCR error in the quoted Latin text.,Preserved exactly as printed in the transcript.,55682-55683,54605
incomplete information,"The visible chunk for THIRD CONCERT cuts off after “CHILDREN'S FESTIVAL CHORUS, JUVA HIGBEE, Conductor” and likely continues beyond the chunk.",Extracted only the visible performances and credits.,55745-55750,not located
ambiguous attribution,"For “A GERMAN REQUIEM,” the composer name is not explicitly visible in the main heading lines of this chunk, though the notes discuss Brahms throughout.",Included Brahms in event credits based on explicit references within the visible notes.,55269-55288,not located
formatting error,Page 40 contains OCR metadata and separator lines rather than program content.,Excluded metadata from event content.,55551-55558,14339
incomplete information,"The item ""LA MORTE / THE DEATH OF BEATRICE"" appears without visible event date, venue, location, or surrounding program context in this chunk.",Extracted it as a separate concert event with null for unavailable event-level fields and preserved all visible text.,55676-55733,not located
OCR error,"The chorus text begins with ""Quonodo"" which may be an OCR error or source irregularity.",Preserved the wording exactly and flagged for review.,55682-55683,not located
incomplete information,The THIRD CONCERT date is incomplete because no year is visible.,"Left event_date as null and preserved ""Friday Afternoon, May 24"" in additional_information.",55735-55737,not located
OCR error,"An extremely long run of hyphens appears after ""FORD'S SONG,"" indicating major formatting/OCR corruption that may have obscured performer or composer information.",Preserved the visible title text and associated surrounding explanatory text; no missing credits were invented.,55785-55787,not located
conflicting information,"The conductor surname appears as both ""JUVA HIGBEE"" and ""JUVA HIGGEE"" within the same event.",Recorded both forms in credits and flagged the inconsistency.,55749-55840,not located
potential misspelling,"The author name appears as ""LEWIS CARROL"" which may be misspelled.",Preserved the spelling exactly as printed and flagged for review.,55851-55852,54755
conflicting information,"Within the Snark cast table the header gives ""THE BILLIARD-MARKER"" but the later text reads ""A Billiard-maker"".","Preserved both forms in the performance additional_information and lyrics transcript, and flagged the discrepancy.",55865-55949,not located
incomplete information,The FOURTH CONCERT date is incomplete because no year is visible.,"Left event_date as null and preserved ""Friday Evening, May 24"" in additional_information.",56156-56158,not located
incomplete information,"The FOURTH CONCERT continues beyond the end of the chunk, so the second aria note is truncated.",Extracted only the visible portion and noted continuation in section additional_information.,56170-56175,54848
ambiguous event boundary,"Lines 056103-056123 contain verse text ending with the Snark/BooJum passage, but no visible title or clear event boundary in this chunk. It appears to continue material from an earlier page or earlier item in the same program.",Did not create a separate performance because the item begins before the visible chunk and lacks sufficient identifying information here. Mentioned its presence in additional_information for the THIRD CONCERT event.,56103-56123,54803
OCR error,"Mixed capitalization appears in tempo marking: ""ALLEGRO GIOCOso MA NON TROPPO VIVACE."" This may be an OCR artifact.",Preserved wording exactly as printed.,56126-56126,54812
non-musical information,A page in the chunk is devoted to CHARLES A. SINK with an institutional title rather than program repertoire.,"Preserved in additional_information for the surrounding FOURTH CONCERT event rather than creating a separate non-event, because it is embedded within the concert program pages.",56259-56262,54900
non-musical information,OCR metadata page appears in the source and is unrelated to the musical program content.,Preserved in additional_information for the surrounding FOURTH CONCERT event.,56263-56270,5726
formatting error,"Extremely long dashed line in the title entry for SUITE, ""Odysseus"" suggests OCR formatting overflow or damaged layout.",Captured the performance title only and moved the descriptive continuation from the next page into additional_information.,56408-56408,not located
incomplete information,"The composer name for SUITE, ""Odysseus"" is not visible in the supplied chunk.",Did not invent a composer credit; preserved available descriptive and sectional information only.,56408-56429,not located
formatting error,"The visible sections of SUITE, ""Odysseus"" are numbered INTRODUCTION, I, and III, with II not visible in the chunk.",Preserved the visible numbering in additional_information and created no inferred missing section.,56415-56425,not located
OCR error,"Possible OCR misread in ""Suzuke"" within the Madame Butterfly note.",Preserved the spelling exactly as it appears.,56443-56443,not located
OCR error,"Possible OCR or typographic issue in ""he princess"" in the Schéhérazade movement IV description.",Preserved wording exactly as printed in the source-derived notes.,56595-56595,not located
incomplete information,The FIFTH CONCERT continues beyond the end of the chunk; only the opening of the Rubinstein concerto entry is visible here.,"Created the performance with only the visible title, movement indications, and performer.",56597-56600,54994
incomplete information,The Schéhérazade entry begins mid-program-note and mid-list of movement titles; the opening of the work information is not present in this chunk.,Extracted only the visible movement titles and analytical text; left unavailable fields null and noted partial context in additional_information.,56526-56534,not located
incomplete information,"The date for 'Saturday Evening, May 25' is incomplete because no year is explicitly visible in this chunk.",Set event_date to null and preserved the visible date wording in additional_information.,56617-56620,55056
OCR error,"Very long dashed line following 'Hebrews and Philistines' appears to be OCR formatting corruption or damaged layout, obscuring any possible associated credit or information.",Did not attempt to reconstruct missing information; preserved available cast credits only.,56627-56628,not located
incomplete information,Historical note on Samson and Delilah continues across page breaks and is incomplete within the chunk.,Preserved visible text in event additional_information and did not infer omitted continuation.,56633-56655,not located
non-musical information,Embedded OCR metadata block is not part of the musical program content.,Excluded it from event content and created no separate non-event because it is clearly scanning metadata interrupting the same document stream.,56639-56646,14339
incomplete information,The sung/dramatic text for 'DELLILAH' at the end of the chunk is cut off mid-line.,Transcribed only the visible text and noted truncation in the performance additional_information.,57024-57025,not located
OCR error,"Several words appear malformed or suspicious in the OCR, such as 'he princess', 'Toarms', 'exsunt', 'Dellilah', 'unchianest', 'hurst'.",Preserved the wording exactly as printed and relied on faithful transcription without correction.,56595-57025,not located
incomplete information,"The chunk begins mid-text, apparently continuing a prior portion of the libretto before ""SCENE VI"".",Extracted only the visible text and noted continuation in event additional_information.,56951-56964,not located
potential misspelling,"Character name appears as ""DELLILAH"" in multiple places, while elsewhere the text uses ""Delilah"" in stage directions.",Preserved both forms exactly as printed/OCRed.,56989-57447,not located
OCR error,"Word appears as ""Swetter"" which may be an OCR or printing error.",Preserved the wording exactly in the transcript.,57025-57027,55372
OCR error,"Hyphenation and line-break splitting within words appear due to OCR/layout, such as ""He- brew"", ""Maid- ens"", ""en- ticing"", ""hes- itates"", ""trou- ble"".",Preserved split forms exactly where they occur in stage directions and lyrics.,57055-57127,not located
OCR error,"Line appears as ""Her scant laden pinions"" and may be questionable, but source meaning cannot be resolved from chunk alone.",Preserved exactly as printed/OCRed.,57073-57075,55407
formatting error,Page headers interrupt performances and sections.,Preserved page header information in additional_information or lyrics_transcript where interruption occurs.,57035-57036,not located
formatting error,Page headers interrupt performances and sections.,Preserved page header information in additional_information or lyrics_transcript where interruption occurs.,57139-57140,not located
formatting error,Page headers interrupt performances and sections.,Preserved page header information in additional_information or lyrics_transcript where interruption occurs.,57239-57240,not located
formatting error,Page headers interrupt performances and sections.,Preserved page header information in additional_information or lyrics_transcript where interruption occurs.,57323-57324,not located
formatting error,Page headers interrupt performances and sections.,Preserved page header information in additional_information or lyrics_transcript where interruption occurs.,57412-57413,not located
potential misspelling,"Phrase appears as ""Then let they zeal awaken,"" which may be erroneous.",Preserved exactly as printed/OCRed.,57235-57237,55498
OCR error,"Line appears as ""Once again to this place / My erring feet draw night!"" where ""draw night"" may be a misread or unusual wording.",Preserved exactly as printed/OCRed.,57357-57359,55610
potential misspelling,"Word appears as ""Summs"" which may be an OCR or spelling issue.",Preserved exactly as printed/OCRed.,57418-57419,55659
OCR error,"Phrase appears as ""Thou'rt broke the faith that should abide!"" and may reflect OCR distortion or nonstandard wording.",Preserved exactly as printed/OCRed.,57438-57440,55673
incomplete information,"The chunk ends mid-performance, leaving Samson's text incomplete.",Transcribed only the visible portion and noted incompleteness in the performance additional_information.,57442-57450,55680
incomplete information,"The chunk begins mid-text and continues an event already in progress, so the beginning of the performance/event is missing.",Extracted only the visible text and noted continuation in event and section additional_information.,57376-57379,55624
incomplete information,"The chunk ends mid-section after ""DELLILAH, HIGH PRIEST, AND CHORUS"" with no following text visible.",Preserved the visible ending and noted that the scene ends mid-text.,57875-57875,55773
potential misspelling,"Character name appears in multiple spellings: DELILAH, DELLILAH, DELIJAH.",Preserved all spellings exactly as they appear in the transcript.,57380-57758,not located
potential misspelling,"Possible OCR or spelling issue in ""Summs up for me the wretched story.""",Preserved wording exactly as printed.,57418-57419,55659
potential misspelling,"Possible OCR or spelling issue in ""Thou'rt broke the faith that should abide!""",Preserved wording exactly as printed.,57439-57439,55673
potential misspelling,"Possible OCR or spelling issue in ""morin's kisses"".",Preserved wording exactly as printed.,57456-57456,55706
potential misspelling,"Possible grammatical or OCR issue in ""To whom thou are consecrated!""",Preserved wording exactly as printed.,57511-57512,55706
potential misspelling,"Possible OCR or wording issue in ""Good wine maketh less deepest distress!""",Preserved wording exactly as printed.,57735-57736,55773
potential misspelling,"Possible OCR or spelling issue in ""the third strope of the invocation"".",Preserved wording exactly as printed.,57823-57823,55773
ambiguous event boundary,"The opening lines of the chunk are a continuation of libretto or dramatic text from a prior source, but no event title or identifying bibliographic details are visible in this chunk.",Separated this material into its own non-event entry to preserve the text without inventing the parent event.,57801-57930,55773
potential misspelling,"The source gives both 'DELILAH' and 'DELLILAH', which may indicate a spelling inconsistency or OCR issue.",Preserved both forms exactly as printed/OCRed in the transcript and did not normalize the name.,57825-57875,not located
potential misspelling,The phrase 'third strope of the invocation' may be an OCR or source spelling issue.,Preserved the wording exactly in additional_information.,57823-57823,55773
ambiguous event boundary,"The heading 'SIXTH CONCERT' begins after page 92, but the chunk does not include the actual concert program details; only orchestra personnel are visible.","Created a concert event using the visible heading and organizational roster, noting the absence of repertory in additional_information.",57885-58070,not located
incomplete information,The University Choral Union roster is cut off during the TENORS list; the remainder of the personnel listing or program may continue beyond the chunk.,Extracted only the visible names and noted that the roster continues beyond the chunk.,58084-58300,not located
non-musical information,A metadata block appears in the source and is unrelated to a musical event proper.,Recorded it as a separate non-event entry.,58076-58082,5726
ambiguous event boundary,"The chunk begins with a list of names before the heading 'UNIVERSITY CHORAL UNION', indicating the event and/or section began earlier in the source. The exact section heading for lines 58226-58289 is not visible.",Included the visible names in event_1 under a section with explanatory additional_information rather than inventing a missing heading.,58226-58289,not located
incomplete information,"The first roster under 'PHILIP BACH SCHOOL' lists names before 'Sixth Grade' appears, but no grade label is visible for that first group.",Recorded the group as a grade roster with performance_name set to null and preserved all names in additional_information.,58493-58521,not located
potential misspelling,"Several names may contain OCR or spelling issues, but cannot be corrected from the chunk alone.",Preserved wording exactly as printed/OCR and flagged examples for review.,58246-58725,not located
ambiguous event boundary,The list of names at the beginning of the chunk appears before the heading 'Elisha Jones School' and may be a continuation from a prior page or prior school not fully visible in this chunk.,Preserved the names in event-level additional_information for the CHILDREN'S CHORUS event rather than assigning them to a specific school or grade.,58651-58665,not located
incomplete information,"The TAPPAN SCHOOL section shows both 'Fifth Grade' and 'Sixth Grade', but no names are visibly separated under 'Fifth Grade'; the following roster may belong to Sixth Grade only or may combine grades.",Created separate performance entries for 'Fifth Grade' and 'Sixth Grade'; left the Fifth Grade roster empty and placed the visible names under Sixth Grade as they follow that heading directly.,58951-58999,not located
duplicate information,The name 'Helen McLaughlin' appears twice consecutively in the W. S. PERRY SCHOOL Sixth Grade roster and may be a duplicate or may represent two identical entries.,Preserved both occurrences exactly as they appear in the roster.,58940-58941,not located
potential misspelling,"Several names and terms in the rosters appear unusual or possibly misspelled due to OCR or source spelling, such as 'Berth Johlps', 'Konla Vermes', 'Elfrida Leneveryg', 'Lenore Scherdc', 'Ayton Shoilt', 'Christo Kohenbers', 'Ennice Kruidemer', and others.",Preserved spellings exactly as printed/OCRed and did not normalize them.,58743-59059,not located
formatting error,"Page headings alternate between 'CHILDREN'S CHORUS', 'OFFICIAL PROGRAM', and page markers while the roster continues across pages, making section boundaries visually irregular.",Structured the material as one CHILDREN'S CHORUS event with school sections spanning multiple page headings.,58753-59024,not located
incomplete information,The EIGHTH FESTIVAL entry begins but is cut off at the end of the chunk before any 'PRINCIPAL WORKS' or further information appear.,"Created the section with the visible date and soloists only, and left performances empty.",59147-59150,not located
formatting error,"The heading on page 106 reads 'REPETOIRE 1894-1929', while page 108 reads 'REPERTOIRE 1894-1929'. This may reflect source inconsistency or OCR variation.",Preserved both forms in event additional_information without correction.,59081-59145,not located
incomplete information,The first visible line lists principal works but no corresponding festival heading or event context is visible within this chunk.,Did not create a separate event because the event boundary and identifying information are missing in the visible excerpt.,59077-59079,not located
potential misspelling,Heading appears as 'REPETOIRE 1894-1929'.,Preserved OCR wording in additional_information.,59082-59082,56183
potential misspelling,Name appears as 'Mr. Van Veachton Rogers Harpist' without punctuation before role and may contain OCR issues.,Recorded as harpist credit with the name preserved exactly.,59098-59098,56216
potential misspelling,Name appears as 'Mr. Heinrich Meyon'.,Preserved as printed.,59108-59108,56177
OCR error,Metadata block is technical page-extraction information rather than musical content.,Created a non-event record to preserve the text.,59255-59262,not located
ambiguous attribution,"In the Twenty-Second Festival works list, '""Wotan's Farewell and Magic Fire"" (Walküre);' has no composer explicitly attached in the visible text, although surrounding items often do.",Left composer absent from the performance additional_information and did not infer one.,59301-59301,not located
incomplete information,Page 113 contains only a vertical list of names without visible explanatory heading or event context.,Created a non-event record preserving the names as additional_information.,59264-59272,not located
formatting error,"The Twenty-Seventh Festival lacks a visible 'PRINCIPAL WORKS' heading before the works list, unlike surrounding entries.",Created a single section named 'works list' to contain the listed works.,59341-59346,not located
OCR error,"Quotation/punctuation appears malformed in '""Damnation of Faust, Berlioz' and '""Vysehrad,"" The Moldau,"" Smetana'.",Preserved wording exactly in performance names.,59346-59346,not located
conflicting information,"THIRTY-THIRD FESTIVAL is dated 'May 19, 20, 21, 22, 1920' even though surrounding sequence suggests a later year; this may be incorrect or OCR-corrupted, but cannot be resolved from the chunk alone.",Preserved the printed year in additional_information and created a flag.,59396-59397,not located
potential misspelling,Name appears as 'Author Hackett' in the Thirty-Fourth Festival soloists list.,Preserved as printed and recorded as tenor.,59410-59410,59904
formatting error,"In the Thirty-First Festival soloists line, punctuation appears to omit a separator before 'Miss Sylvia Lent, Violinist'.","Parsed 'Vicente Ballester, Royal Dadmun, Cesare Baromeo (Chase Sikes)' as baritones and basses and 'Miss Sylvia Lent' as violinist, preserving all wording.",59378-59378,not located
non-musical information,Pages 120-121 contain directory/list material rather than a specific musical event.,Represented as non-event records with structured sections where feasible.,59441-59575,not located
incomplete information,The Page 121 ARTISTS/SOPRANOS list is truncated at 'Miss Hinkle (6)' and likely continues beyond the chunk.,Created a non-event record containing only the visible portion.,59527-59575,not located
non-musical information,The material on pages 121-124 is an index/list of artists by category rather than a specific musical event.,Created a non-event entry and preserved the list in additional_information.,59528-59990,not located
non-musical information,The material on page 125 is a catalog/list of works rather than a specific musical event.,Created a non-event entry and preserved the explanatory text and visible list entries.,59992-60000,not located
potential misspelling,Possible inconsistency between 'E. Killeen' and later 'E. Killen (2)'.,Preserved both forms exactly as printed and flagged for review.,59501-59796,not located
potential misspelling,"Name appears as 'Stranksy', which may be irregular.",Preserved the OCR wording exactly.,59522-59522,60709
potential misspelling,"Name appears as 'Mlle. Ina Bourskayas', which may be irregular.",Preserved the OCR wording exactly.,59543-59543,60747
duplicate information,"The name 'Miss Johnson' appears multiple times in the soprano list, including once without a count and once as 'Miss Johnson (3)', plus another later 'Miss Johnson'.",Preserved all appearances in sequence within the transcription.,59554-59582,not located
potential misspelling,"Name appears as 'Mrs. Winehell (2)', which may be irregular.",Preserved the OCR wording exactly.,59633-59633,60765
potential misspelling,"Name appears as 'Berthald (4)', which may be irregular.",Preserved the OCR wording exactly.,59698-59698,60765
potential misspelling,"Name appears as 'Jordon (2)', which may be irregular.",Preserved the OCR wording exactly.,59721-59721,60765
potential misspelling,"Name appears as 'Baromeo (6)', which may be irregular.",Preserved the OCR wording exactly.,59755-59755,60765
potential misspelling,"Name appears as 'Bresford (2)', which may be irregular.",Preserved the OCR wording exactly.,59759-59759,60765
potential misspelling,"Name appears as 'Del Punte', which may be irregular.",Preserved the OCR wording exactly.,59774-59774,60765
potential misspelling,"Name appears as 'Bachaus', which may be irregular.",Preserved the OCR wording exactly.,59838-59838,59361
potential misspelling,"Name appears as 'Sickiez', which may be irregular.",Preserved the OCR wording exactly.,59888-59888,60765
incomprehensible OCR,The violinist entry 'Em' appears incomplete or truncated.,Preserved the entry exactly and flagged for manual review.,59905-59905,136
formatting error,Heading appears with two spellings: 'DETAILED REPERTOIRE' and 'DETAILED RÉPERTOIRE'.,Preserved both forms exactly as printed in additional_information.,59665-59945,not located
incomplete information,The 'List of Works' begins with ALFVEN and appears to continue beyond the chunk; only one composer entry is visible here.,Extracted only the visible entry and noted chunk limitation.,59994-60000,not located
ambiguous event boundary,The opening list of names before Page 124 appears to continue from prior material not fully visible in this chunk.,Preserved the names in additional_information of a non-event entry rather than assigning them to a specific complete event.,59926-59942,not located
non-musical information,"The material consists primarily of repertory indexes, artist lists, summary tables, and OCR metadata rather than a discrete musical event program.",Encoded these as non-event entries with transcription preserved in additional_information.,59944-60425,not located
OCR error,"Possible OCR or formatting issue in title/reference: ""Overture to Suite in Dnieper"" may be suspect.",Preserved exactly as printed and flagged for review.,60003-60003,60841
OCR error,"Possible OCR or formatting issue in Beethoven entry: ""Op. E. flat."" is incomplete or malformed.",Preserved exactly as printed in transcription.,60007-60007,not located
potential misspelling,"Composer spelling/form may be questionable: ""BOURGAULT-DUCOURBAY"".",Preserved exactly as printed.,60032-60032,not located
OCR error,Possible OCR or punctuation omission in DUKAS entry between two works.,Preserved wording exactly and flagged for manual review.,60089-60089,not located
potential misspelling,"Composer name may be misscanned: ""CLINKA"".",Preserved exactly as printed.,60115-60115,not located
formatting error,Page 130 contains only a list of names without visible heading or explicit role attribution in this chunk.,Included the names as performer credits in a non-event entry and noted the ambiguity in additional_information.,60219-60227,not located
non-musical information,"Page 131 contains OCR processing metadata, not source-program content.",Preserved in additional_information of the relevant non-event entry.,60228-60235,not located
OCR error,Possible OCR issue in MOSZOWSKI entry with mismatched quotation marks.,Preserved exactly as printed.,60244-60244,not located
potential misspelling,"Composer spelling/form may be questionable: ""REZNIECK"".",Preserved exactly as printed.,60276-60276,not located
OCR error,"Possible OCR or formatting issue in SIBELIUS and SMETANA entries, including punctuation/quotation irregularities.",Preserved exactly as printed and flagged for review.,60311-60315,60963
potential misspelling,"Composer spelling/form may be questionable: ""SVENSDSEN"".",Preserved exactly as printed.,60342-60342,60983
OCR error,"Possible OCR issue in TCHAIKOWSKY entry: ""Pl."", ""VI."", and ""Rocco Theme"" may reflect scanning errors.",Preserved text exactly and flagged for review.,60350-60350,not located
formatting error,WAGNER entry is split across a page break between pages 134 and 135.,Combined the visible continuation into one transcription block and noted continuation across page break.,60360-60365,not located
potential misspelling,"Possible OCR or spelling issue in performer/composer name: ""Weiniaowski"".",Preserved exactly as printed.,60369-60369,60983
incomplete information,The summary table at the end is only partially visible in this chunk.,Transcribed only the visible portion and noted it in additional_information.,60396-60425,not located
ambiguous event boundary,The opening material on lines 60352-60375 is a continuation of a composer/work index crossing a page boundary and may have begun before this chunk.,Captured it as part of a non-event summary/index event and preserved the visible text in additional_information.,60352-60375,not located
OCR error,"Possible OCR or source error in work title spelling: ""Ride of the Walkires"".",Preserved the wording exactly as printed in additional_information.,60360-60360,not located
potential misspelling,"Composer name appears as ""Weiniaowski,"" which may be misspelled or an OCR issue.",Preserved the spelling exactly as it appears.,60369-60369,60983
non-musical information,Summary tables and statistics are not a specific musical event.,Created a non-event record and placed the material in additional_information.,60378-60497,not located
conflicting information,"Second Concert is labeled Complete Series 1681, and Third Concert is also labeled Complete Series 1681.",Preserved both series numbers as printed and noted the conflict for review.,60555-60580,not located
conflicting information,"Third Concert is labeled Complete Series 1681, the same number used for the Second Concert.",Preserved the printed series number and flagged the duplication/conflict.,60582-60599,not located
potential misspelling,"Performer name appears as ""PERCIVAL PARHAN,"" which may require manual review.",Preserved the name exactly as printed.,60667-60669,not located
potential misspelling,"Song title appears as ""Ezeiel Saw de Wheel,"" which may be misspelled or reflect dialect/OCR.",Preserved the wording exactly in the lyrics_transcript.,60684-60687,not located
non-musical information,Pages 144-145 contain descriptive historical prose and organ specification rather than a specific performance event.,Created a non-event record and preserved the prose and stop list in additional_information.,60775-60850,not located
incomplete information,"The organ stop list ends with the heading ""Choir Organ***"" and appears to continue beyond the chunk.",Preserved only the visible portion and flagged the truncation.,60821-60850,not located
non-musical information,Pages 147-149 and Page 2-3 contain OCR metadata blocks rather than musical content.,Excluded metadata blocks as standalone events; preserved relevant page references only where helpful.,60986-61011,not located
OCR error,Possible OCR or transcription inconsistency in name 'Juva Higher' on the children's concert listing.,Preserved as 'JUVA HIGHER' in the event credit and flagged for review.,61113-61115,not located
conflicting information,The same apparent person appears with differing spellings across the chunk: 'Juva Higbee' earlier and 'JUVA HIGHER' in the concert listing.,Preserved each spelling exactly where it appears and created a flag.,61045-61115,not located
conflicting information,Singer name appears as 'Marion Telva' on Page 4 and 'MARIAN TELVA' in the Page 7 concert listing.,Preserved both forms exactly as they appear and flagged for review.,61044-61138,not located
conflicting information,Singer name appears as 'Mario Basiola' on Page 4 and 'MARIO BASHOLA' in the Page 7 concert listing.,Preserved both forms exactly as they appear and flagged for review.,61059-61140,not located
conflicting information,Singer name appears as 'Raymund Koch' on Page 4 / cast list and 'RAYMOND KOCH' in listings.,Preserved both forms exactly as they appear and flagged for review.,61058-61245,not located
conflicting information,Contralto name appears as 'Merle Alcock' on Page 4 and 'MERLE ALOCK' in the soloist listing.,Preserved both forms exactly as they appear and flagged for review.,61057-61225,not located
duplicate information,The festival concerts listed on Page 7 are represented again in more detailed form beginning on Page 9.,Extracted the summary listings as separate events visible in the chunk and also extracted the detailed concert programs separately.,61083-61275,53252
incomplete information,The program for 'Second May Festival Concert' continues beyond the visible chunk; only part of the event is present here.,Extracted only the visible sections and synopsis content.,61220-61275,not located
formatting error,"Extremely long rule/filler after 'CHARLES A. SINK, A.B.' suggests OCR capture of a printed leader line.",Preserved the named credit and noted the filler in additional information rather than reproducing the full rule as structured data.,61080-61080,not located
incomplete information,"The opening program fragment begins mid-event and lacks event title, date, venue, and other context.",Created a separate concert event for the fragment and preserved visible program items and notices in additional_information.,61201-61213,not located
potential misspelling,"Contralto soloist appears as 'MERLE ALOCK' in soloists list, but cast later gives 'Merle Alcock'.",Preserved both spellings exactly as they appear and recorded both in credits.,61225-61249,not located
potential misspelling,"Baritone soloist appears as 'RAYMOND KOCH' in soloists list, but cast later gives 'Raymund Koch'.",Preserved both spellings exactly as they appear and recorded both in credits.,61227-61245,not located
formatting error,"Cast formatting for 'THE LEPER / THE VOICE OF CHRIST { Chase Baromeo' is unclear, making exact assignment uncertain.",Only explicit role-person pairing visible with braces was recorded for 'THE VOICE OF CHRIST'; 'THE LEPER' was left without a cast credit.,61243-61244,not located
formatting error,"Cast formatting suggests brace-grouped lines and may ambiguously associate 'PEOPLE, ETC.' with 'EARL V. MOORE, Conductor'.",Preserved the visible association as a cast credit and flagged for review.,61251-61252,not located
formatting error,Line 'CHILDREN'S FESTIVAL CHORUS ORCHESTRAL ACCOMPANIMENT' is ambiguous in structure.,Preserved the full phrase in event additional_information and recorded CHILDREN'S FESTIVAL CHORUS as performer.,61290-61290,62436
non-musical information,"Pages 15-16 and 21-22 contain copyright, image caption, and OCR metadata rather than event program content.",Created a non-event entry for the copyright page; page 16 and 22 metadata were not treated as musical events.,61443-61557,not located
OCR error,Very long repeated dash leaders dominate multiple lines and indicate OCR extraction artifacts rather than substantive text.,Ignored repeated dash runs except where they separate title and composer; preserved surrounding substantive text.,61484-61485,not located
incomplete information,"The prose note for 'Impression' begins mid-sentence, indicating missing earlier text from another page or omitted lines.",Preserved the surviving text as lyrics_transcript/additional descriptive text and flagged incompleteness.,61685-61685,63032
incomplete information,"Descriptive notes for 'SUITE for Orchestra, Opus 19' begin with variation tempi and continue from earlier missing material.",Preserved the visible descriptive text under the suite performance and flagged it as incomplete.,61692-61698,63046
ambiguous event boundary,"The FIRST CONCERT material spans multiple pages and includes official program items, descriptive notes, lyrics, and continuation from previous pages; exact internal boundaries between program and notes are not always explicit.",Grouped all clearly labeled FIRST CONCERT material into a single event with one section and individual performances carrying descriptive text.,61463-61700,not located
incomplete information,"The FIRST CONCERT date is incomplete because no year is explicitly stated in the visible lines, and the day number lacks month/year completion in date format requirements.","Left event_date as null and preserved 'Wednesday Evening, May 16' in additional_information context.",61463-61466,not located
